Episode 63 	 Cost: 35.2787 	 Latency: 2.9960s 	 Energy: 0.2130J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:18% Cld:65%]
Episode 64 	 Cost: 40.6444 	 Latency: 3.3348s 	 Energy: 0.3129J 	 Load: 2.9% 	 Act:[Loc:0% MEC:17% Rem:17% Cld:66%]
Episode 65 	 Cost: 44.5912 	 Latency: 3.5724s 	 Energy: 0.3635J 	 Load: 2.0% 	 Act:[Loc:0% MEC:16% Rem:17% Cld:66%]
Episode 66 	 Cost: 41.1089 	 Latency: 3.3449s 	 Energy: 0.3207J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:18% Cld:65%]
Episode 67 	 Cost: 42.1674 	 Latency: 3.4268s 	 Energy: 0.3138J 	 Load: 0.9% 	 Act:[Loc:0% MEC:16% Rem:23% Cld:61%]
Episode 68 	 Cost: 19.7400 	 Latency: 1.9603s 	 Energy: 0.1915J 	 Load: 3.1% 	 Act:[Loc:0% MEC:17% Rem:24% Cld:59%]
Episode 69 	 Cost: 34.3381 	 Latency: 2.9026s 	 Energy: 0.3778J 	 Load: 3.0% 	 Act:[Loc:0% MEC:19% Rem:23% Cld:58%]
Episode 70 	 Cost: 46.5665 	 Latency: 3.6962s 	 Energy: 0.4064J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:18% Cld:65%]
Episode 71 	 Cost: 43.2557 	 Latency: 3.4870s 	 Energy: 0.4366J 	 Load: 1.4% 	 Act:[Loc:0% MEC:17% Rem:35% Cld:48%]
Episode 72 	 Cost: 54.7622 	 Latency: 4.2163s 	 Energy: 0.3926J 	 Load: 0.5% 	 Act:[Loc:0% MEC:17% Rem:19% Cld:64%]
Episode 73 	 Cost: 31.4792 	 Latency: 2.7227s 	 Energy: 0.2478J 	 Load: 0.6% 	 Act:[Loc:0% MEC:18% Rem:26% Cld:56%]
Episode 74 	 Cost: 27.6476 	 Latency: 2.4628s 	 Energy: 0.2405J 	 Load: 2.6% 	 Act:[Loc:0% MEC:18% Rem:15% Cld:67%]
Episode 75 	 Cost: 38.6329 	 Latency: 3.1675s 	 Energy: 0.3183J 	 Load: 1.3% 	 Act:[Loc:0% MEC:17% Rem:18% Cld:65%]
Episode 76 	 Cost: 37.9971 	 Latency: 3.1573s 	 Energy: 0.3325J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:21% Cld:62%]
Episode 77 	 Cost: 34.6227 	 Latency: 2.9048s 	 Energy: 0.2786J 	 Load: 2.1% 	 Act:[Loc:0% MEC:17% Rem:30% Cld:52%]
Episode 78 	 Cost: 58.3440 	 Latency: 4.4604s 	 Energy: 0.4863J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:17% Cld:66%]
Episode 79 	 Cost: 29.9639 	 Latency: 2.6101s 	 Energy: 0.3334J 	 Load: 2.7% 	 Act:[Loc:0% MEC:16% Rem:33% Cld:51%]
Episode 80 	 Cost: 52.2389 	 Latency: 4.0805s 	 Energy: 0.4423J 	 Load: 0.8% 	 Act:[Loc:0% MEC:16% Rem:37% Cld:46%]
